uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"a884a842-df60-42a2-aae0-66f76466a88d",1451,"Payload delivery","sha256","209fb398318a0d346b933b0c408467fce8dea36c10cd0f69ce4b342e28cee9dc","",1,1540555568,"sha256","","","",""
"465381ee-3728-499f-8ccc-fb9001348416",1451,"Other","datetime","2018-10-13T22:18:08.000000+0000","",0,1540555572,"last-submission","","","",""
"e0c02618-f216-4a5a-9ef9-515f4f2f8d32",1451,"External analysis","link","https://www.virustotal.com/file/209fb398318a0d346b933b0c408467fce8dea36c10cd0f69ce4b342e28cee9dc/analysis/1539469088/","",0,1540555574,"permalink","","","",""
"f4b7b799-d5ae-4303-9564-d1d8896cd47e",1451,"Other","text","37/58","",0,1540555576,"detection-ratio","","","",""
"e6dfda78-d8a0-42c0-9ab0-41e095f17d51",1451,"Payload delivery","md5","47ec75d3290add179ac5218d193bb9a8","",1,1540555585,"md5","","","",""
"047e4bab-0bc1-4265-a4fb-dd3792706d98",1451,"Payload delivery","sha1","4e23eca913de2aeb7093cb7ecfbf1dc272ff78b9","",1,1540555593,"sha1","","","",""
"e0285ee6-8062-4237-8d0d-34d01d9c9cca",1451,"Payload delivery","sha256","f6707b5f41192353be3311fc7f48ee30465038366386b909e6cefaade70c91bc","",1,1540555601,"sha256","","","",""
"1d654ffa-2b0d-4038-ba6d-36d739672f45",1451,"Other","datetime","2018-10-26T00:47:39.000000+0000","",0,1540555608,"last-submission","","","",""
"2aecd147-b707-46f9-bf79-6d82917db72b",1451,"External analysis","link","https://www.virustotal.com/file/f6707b5f41192353be3311fc7f48ee30465038366386b909e6cefaade70c91bc/analysis/1540514859/","",0,1540555609,"permalink","","","",""
"c58a1b2d-1600-48e2-92d0-711442e0309a",1451,"Other","text","35/67","",0,1540555610,"detection-ratio","","","",""
"a6103ca8-4138-413a-b978-9951e757bde5",1451,"Payload delivery","md5","cd371d1d3bd7c8e2110587cfa8b7eaea","",1,1540555610,"md5","","","",""
"8b95bb7c-f931-4c5b-a4c8-1794f1bb1b42",1451,"Payload delivery","sha1","a74ebea575319e9e26a5fcd6939e103dbd230eb4","",1,1540555611,"sha1","","","",""
"ee79156c-a7f1-4365-9cac-91a86ccd39f0",1451,"Payload delivery","sha256","315a95d2565b05d936d1357311848d7cc021dfddfd8bfe4a3f7dea18c2c19522","",1,1540555612,"sha256","","","",""
"a4622b73-9b01-4cad-84cf-c42f58c9f5cf",1451,"Other","datetime","2018-10-13T22:14:36.000000+0000","",0,1540555614,"last-submission","","","",""
"4c4dffec-736d-4643-8a9d-fbe1b7d39a75",1451,"External analysis","link","https://www.virustotal.com/file/315a95d2565b05d936d1357311848d7cc021dfddfd8bfe4a3f7dea18c2c19522/analysis/1539468876/","",0,1540555614,"permalink","","","",""
"4eecd42c-bcd8-4c3c-8b21-44a9d8841aab",1451,"Other","text","36/58","",0,1540555615,"detection-ratio","","","",""
"d496a478-7e07-4c19-b189-23390141c99d",1451,"Payload delivery","md5","f84914c30ae4e6b9b1f23d5c01e001ed","",1,1540555616,"md5","","","",""
"fbbc0660-455a-4112-a274-9005fceed656",1451,"Payload delivery","sha1","78ba7c54d0ee1009ea8fdf7a198ff3a2b0a7a4f7","",1,1540555625,"sha1","","","",""
"8cf93e9a-bdec-48c3-931a-d030fb1fdbb5",1451,"Payload delivery","sha256","18479a93fc2d5acd7d71d596f27a5834b2b236b44219bb08f6ca06cf760b74f6","",1,1540555640,"sha256","","","",""
"2c5e82fd-e20a-49a3-8b2a-4b53a1afba45",1451,"Other","datetime","2018-10-13T22:26:48.000000+0000","",0,1540555650,"last-submission","","","",""
"271f0f46-a4c8-46ea-bbe0-98b84304a82d",1451,"External analysis","link","https://www.virustotal.com/file/18479a93fc2d5acd7d71d596f27a5834b2b236b44219bb08f6ca06cf760b74f6/analysis/1539469608/","",0,1540555651,"permalink","","","",""
"a15edd7e-0add-47a9-b03c-b7140b2937e4",1451,"Other","text","41/58","",0,1540555652,"detection-ratio","","","",""
"8a0cd02b-d8d5-466e-b4dc-0d5a1380a0ba",1451,"Payload delivery","md5","665947cf7037a6772687b69279753cdf","",1,1540555653,"md5","","","",""
"c50aefc2-c36d-446d-a44b-a0e5d2352321",1451,"Payload delivery","sha1","89f726a22b1cad37d95befeed64a6c379f7db2ad","",1,1540555655,"sha1","","","",""
"b00ddf7e-cc65-4dc6-8363-454c6e52fb9a",1451,"Payload delivery","sha256","94625dd8151814dd6186735a6a6a87b2a4c71c04b8402caf314fb6f98434eaad","",1,1540555656,"sha256","","","",""
